ID,Authors,Title
4,"['Robert Sablatnig', 'Marco Peer', 'Florian Kleber']",SAGHOG: Self-Supervised Autoencoder for Generating HOG Features for Writer Retrieval
7,"['Silvia Cascianelli', 'Vittorio Pippi', 'Rita Cucchiara', 'Fabio Quattrini']",Binarizing Documents by Leveraging both Space and Frequency
13,"['Christopher Kermorvant', 'Solène Tarride']",Revisiting N-Gram Models: Their Impact in Modern Neural Networks for Handwritten Text Recognition
16,"['Askar Hamdulla', 'Mayire Ibrayim', 'Jianjun Kang', 'Chunhu Zhang', 'Mengmeng Chen']",A Real-Time Scene Uyghur Text Detection Network Based on Feature Complementation
18,"['Carlos Francisco Moreno - García', 'Laura Jamieson', 'Eyad Elyan']",A Multiclass Imbalanced Dataset Classification of Symbols from Piping and Instrumentation Diagrams
19,"['Hai Luu Tuan', 'Jeff Yang', 'Huynh Vu The']",Light-Weight Multi-Modality Feature Fusion Network for Visually-Rich Document Understanding
20,"['Yoann Schneider', 'Bastien Abadie', 'Mélodie Boillet', 'Christopher Kermorvant', 'Marie Generali - Lince', 'Solène Tarride']",Improving Automatic Text Recognition with Language Models in the PyLaia Open-Source Library
22,"['Ryota Nakao', 'DongHyun Kim', 'Youngmin Baek', 'Moon Bin Yim', 'Yamato Okamoto', 'Bado Lee', 'Geewook Kim', 'Seunghyun Park']",CREPE: Coordinate-Aware End-to-End Document Parser
25,"['Tahira Shehzadi', 'Didier Stricker', 'Muhammad Zeshan Afzal']",A Hybrid Approach for Document Layout Analysis in Document images
27,"['Tahira Shehzadi', 'Shalini Sarode', 'Muhammad Zeshan Afzal', 'Didier Stricker']",Towards End-to-End Semi-Supervised Table Detection with Semantic Aligned Matching Transformer
30,"['Gang Yao', 'Liangrui Peng', 'Kemeng Zhao', 'Ning Ding', 'Tianqi Zhao', 'Yao Tao', 'Pei Tang']",Visual Prompt Learning for Chinese Handwriting Recognition
31,"['Gang Yao', 'Liangrui Peng', 'Kemeng Zhao', 'Ning Ding', 'Chengyu Deng', 'Tianqi Zhao', 'Yao Tao']",Geometric-aware Control in Diffusion Model for Handwritten Chinese Font Generation
32,"['M. Saquib Sarfraz', 'Rainer Stiefelhagen', 'Omar Moured', 'Jiaming Zhang']",AltChart: Enhancing VLM-based Chart Summarization Through Multi-Pretext Tasks
34,"['José Andrés', 'Enrique Vidal', 'Alejandro H. Toselli']",Mining and Analyzing Statistical Information from Untranscribed Form Images
36,"['Isabelle Guyon', 'Romain Egele', 'Marcus Liwicki', 'Birhanu Hailu Belay', 'Bezawork Tilahun', 'Tadele Mengiste', 'Tesfa Tegegne']",A Historical Handwritten Dataset for Ethiopic OCR with Baseline Models and Human-level Performance
37,"['Robert Sablatnig', 'Rafael Sterzinger', 'Simon Brenner']",Drawing the Line: Deep Segmentation for Extracting Art from Ancient Etruscan Mirrors
38,"['Michal Hradiš', 'Martin Kišš']",Self-supervised Pre-training of Text Recognizers
42,"['Xin Xia', 'Siyuan Li', 'Guodong Ding']",LMTextSpotter: Towards Better Scene Text Spotting with Language Modeling in Transformer
43,"['Chixiang Ma', 'Jiawei Wang', 'Shunchi Zhang', 'Kai Hu', 'Zhuoyao Zhong', 'Lei Sun', 'Qiang Huo']",Dynamic Relation Transformer for Contextual Text Block Detection
44,"['Jiawei Wang', 'Qiang Huo', 'Kai Hu']",DLAFormer: An End-to-End Transformer For Document Layout Analysis
45,"['Jiawei Wang', 'Weihong Lin', 'Kai Hu', 'Zhuoyao Zhong', 'Lei Sun', 'Qiang Huo']",UniVIE: A Unified Label Space Approach to Visual Information Extraction from Form-like Documents
46,"['Lionel Kesztenbaum', 'Yoann Schneider', 'Bastien Abadie', 'Mélodie Boillet', 'Christopher Kermorvant', 'Solène Tarride']",The Socface Project: Large-Scale Collection Processing and Analysis of a Century of French Censuses
47,"['Glen Pouliquen', 'Joseph Chazalon', 'Thierry Géraud', 'Ahmad Montaser Awal', 'Guillaume Chiron']",Weakly Supervised Training for Hologram Verification in Identity Documents
49,"['Meixuan Qiao', 'Lujun Tian', 'Qiyu Hou', 'Jun Wang']",Synthesizing Realistic Data for Table Recognition
50,"['Akarsh Upadhyay', 'Rudrabha Mukhopadhyay', 'Akkshita Trivedi', 'Santanu Chaudhury']",GDP: Generic Document Pretraining to Improve Document Understanding
51,"['David Rizo', 'Jorge Calvo - Zaragoza', 'Adrián Roselló', 'Eliseo Fuentes - Martínez', 'María Alfaro - Contreras']",Source-Free Domain Adaptation for Optical Music Recognition
54,"['Antonio Javier Gallego', 'Francisco J. Castellanos', 'Alejandro Galán - Cuenca', 'Juan P. Martinez - Esteso']",A region-based approach for layout analysis of music score images in scarce data scenarios
55,"['Namwook Kim', 'Taehee Lee', 'Yun Young Choi', 'Taehoon Kim', 'Seongho Joe']",End to End Table Transformer
58,"['Eric Ayllon', 'Francisco J. Castellanos', 'Jorge Calvo - Zaragoza']",Analysis of the Calibration of Handwriting Text Recognition Models
59,"['Xudong Yan', 'Cheng', 'Sen Dai', 'He', 'Lin Liu', 'Hui Li', 'Xiao', 'Shuqi Mei', 'Fei Yin']",GraphMLLM: A Graph-based Multi-level Layout Language-independent Model for Document Understanding
60,['Takaya Kawakatsu'],Multi-Cell Decoder and Mutual Learning for Table Structure and Character Recognition
64,"['Kei Nakatsuru', 'Seiichi Uchida']",Learning to Kern: Set-wise Estimation of Optimal Letter Space
69,"['Elisa H Barney Smith', 'Chang Liu', 'Simon Corbillé']",MOoSE: Multi-Orientation Sharing Experts for Open-set Scene Text Recognition
71,"['Zhang Yilun', 'Meng Xianghui', 'Xie Youbai', 'Pan Qiangang', 'Hu Yahong']",Deep Learning-Driven Innovative Model for Generating Functional Knowledge Units
74,"['Jeff Yang', 'Huynh Vu The', 'Van Pham Hoai']",One-shot Transformer-based Framework for Visually-Rich Document Understanding
75,"['Wanqing Li', 'Jie Yang', 'Wangli Yang', 'Yi Guo']",ConClue: Conditional Clue Extraction for Multiple Choice Question Answering
